# x	y	u	v	flags	mask
3.9000e+01	1.8150e+03	-7.8588e-02	-2.1208e-01	0.0000e+00	0.0000e+00
8.7000e+01	1.8150e+03	1.3638e+00	4.2088e-01	0.0000e+00	0.0000e+00
1.3500e+02	1.8150e+03	1.3739e+00	8.9390e-01	0.0000e+00	0.0000e+00
1.8300e+02	1.8150e+03	7.6150e-02	1.0102e+00	0.0000e+00	0.0000e+00
2.3100e+02	1.8150e+03	1.6613e-01	9.1618e-01	0.0000e+00	0.0000e+00
2.7900e+02	1.8150e+03	4.3264e-01	9.2619e-01	0.0000e+00	0.0000e+00
3.2700e+02	1.8150e+03	1.6026e+00	-6.5445e-02	0.0000e+00	0.0000e+00
3.7500e+02	1.8150e+03	2.3047e+00	-5.6343e-01	0.0000e+00	0.0000e+00
4.2300e+02	1.8150e+03	2.3782e+00	-6.9109e-01	0.0000e+00	0.0000e+00
4.7100e+02	1.8150e+03	2.7824e+00	-6.3750e-01	0.0000e+00	0.0000e+00
5.1900e+02	1.8150e+03	2.9772e+00	-2.3071e-01	0.0000e+00	0.0000e+00
5.6700e+02	1.8150e+03	2.5545e+00	3.0132e-01	0.0000e+00	0.0000e+00
6.1500e+02	1.8150e+03	2.0170e+00	4.4990e-01	0.0000e+00	0.0000e+00
6.6300e+02	1.8150e+03	1.8485e+00	3.0939e-01	0.0000e+00	0.0000e+00
7.1100e+02	1.8150e+03	1.7222e+00	2.5688e-01	0.0000e+00	0.0000e+00
7.5900e+02	1.8150e+03	1.3063e+00	1.7292e-01	0.0000e+00	0.0000e+00
8.0700e+02	1.8150e+03	9.4365e-01	3.3587e-01	0.0000e+00	0.0000e+00
8.5500e+02	1.8150e+03	1.3240e+00	9.5371e-01	0.0000e+00	0.0000e+00
9.0300e+02	1.8150e+03	9.5740e-01	3.8615e-01	0.0000e+00	0.0000e+00
9.5100e+02	1.8150e+03	5.3568e-01	1.4402e-01	0.0000e+00	0.0000e+00
9.9900e+02	1.8150e+03	5.3090e-01	4.0192e-01	0.0000e+00	0.0000e+00
1.0470e+03	1.8150e+03	-4.2740e-01	1.8493e+00	0.0000e+00	0.0000e+00
1.0950e+03	1.8150e+03	-1.5688e-01	5.7552e-01	0.0000e+00	0.0000e+00
1.1430e+03	1.8150e+03	-2.9403e-02	5.1986e-01	0.0000e+00	0.0000e+00
1.1910e+03	1.8150e+03	2.0013e-01	5.9556e-01	0.0000e+00	0.0000e+00
1.2390e+03	1.8150e+03	3.2875e-01	3.3788e-02	0.0000e+00	0.0000e+00
1.2870e+03	1.8150e+03	1.8096e-01	-3.4887e-01	0.0000e+00	0.0000e+00
1.3350e+03	1.8150e+03	5.2235e-03	-9.6015e-02	0.0000e+00	0.0000e+00
1.3830e+03	1.8150e+03	1.2217e-01	9.5144e-02	0.0000e+00	0.0000e+00
1.4310e+03	1.8150e+03	2.0510e-01	1.8743e-01	0.0000e+00	0.0000e+00
1.4790e+03	1.8150e+03	3.2603e-01	2.3058e-01	0.0000e+00	0.0000e+00
1.5270e+03	1.8150e+03	2.6376e-01	4.1246e-01	0.0000e+00	0.0000e+00
1.5750e+03	1.8150e+03	9.9818e-01	9.9766e-01	0.0000e+00	0.0000e+00
1.6230e+03	1.8150e+03	1.7243e+00	4.0639e-01	0.0000e+00	0.0000e+00
1.6710e+03	1.8150e+03	1.3803e+00	-7.0516e-02	0.0000e+00	0.0000e+00
1.7190e+03	1.8150e+03	6.1927e-01	-3.1298e-01	0.0000e+00	0.0000e+00
1.7670e+03	1.8150e+03	-5.2584e-02	-5.8288e-01	0.0000e+00	0.0000e+00
1.8150e+03	1.8150e+03	-7.3171e-01	-6.8757e-01	0.0000e+00	0.0000e+00
1.8630e+03	1.8150e+03	-1.0231e+00	-7.3716e-01	0.0000e+00	0.0000e+00
1.9110e+03	1.8150e+03	-1.2055e+00	-7.9666e-01	0.0000e+00	0.0000e+00
1.9590e+03	1.8150e+03	-1.2747e+00	-8.3491e-01	0.0000e+00	0.0000e+00
2.0070e+03	1.8150e+03	-1.3402e+00	-8.4840e-01	0.0000e+00	0.0000e+00
3.9000e+01	1.7670e+03	7.7683e-01	-1.8357e-01	0.0000e+00	0.0000e+00
8.7000e+01	1.7670e+03	1.0888e+00	6.4826e-02	0.0000e+00	0.0000e+00
1.3500e+02	1.7670e+03	1.9365e-01	4.3606e-01	0.0000e+00	0.0000e+00
1.8300e+02	1.7670e+03	-1.2303e-01	1.0583e+00	0.0000e+00	0.0000e+00
2.3100e+02	1.7670e+03	1.5398e-01	1.2239e+00	0.0000e+00	0.0000e+00
2.7900e+02	1.7670e+03	5.4846e-01	9.8315e-01	0.0000e+00	0.0000e+00
3.2700e+02	1.7670e+03	6.1438e-01	4.8904e-01	0.0000e+00	0.0000e+00
3.7500e+02	1.7670e+03	1.5464e+00	-4.8214e-01	0.0000e+00	0.0000e+00
4.2300e+02	1.7670e+03	2.3917e+00	-8.1186e-01	0.0000e+00	0.0000e+00
4.7100e+02	1.7670e+03	2.4398e+00	-5.3290e-01	0.0000e+00	0.0000e+00
5.1900e+02	1.7670e+03	2.4727e+00	-1.4726e-01	0.0000e+00	0.0000e+00
5.6700e+02	1.7670e+03	2.2683e+00	1.1812e-01	0.0000e+00	0.0000e+00
6.1500e+02	1.7670e+03	2.0918e+00	1.8923e-01	0.0000e+00	0.0000e+00
6.6300e+02	1.7670e+03	1.9610e+00	1.8935e-01	0.0000e+00	0.0000e+00
7.1100e+02	1.7670e+03	1.7786e+00	6.6620e-02	0.0000e+00	0.0000e+00
7.5900e+02	1.7670e+03	1.3882e+00	7.6024e-02	0.0000e+00	0.0000e+00
8.0700e+02	1.7670e+03	1.1091e+00	8.7748e-02	0.0000e+00	0.0000e+00
8.5500e+02	1.7670e+03	3.8620e-01	1.0567e+00	0.0000e+00	0.0000e+00
9.0300e+02	1.7670e+03	8.3415e-01	3.0530e-01	0.0000e+00	0.0000e+00
9.5100e+02	1.7670e+03	2.9816e-01	-2.6273e-01	0.0000e+00	0.0000e+00
9.9900e+02	1.7670e+03	-6.2839e-01	1.0623e-01	0.0000e+00	0.0000e+00
1.0470e+03	1.7670e+03	-9.3699e-01	9.5239e-01	0.0000e+00	0.0000e+00
1.0950e+03	1.7670e+03	-1.9192e+00	5.3409e-01	0.0000e+00	0.0000e+00
1.1430e+03	1.7670e+03	-1.4403e+00	9.4778e-02	0.0000e+00	0.0000e+00
1.1910e+03	1.7670e+03	-1.4258e+00	-1.7546e-02	0.0000e+00	0.0000e+00
1.2390e+03	1.7670e+03	-1.0780e+00	-1.7290e-01	0.0000e+00	0.0000e+00
1.2870e+03	1.7670e+03	-4.9206e-01	-2.0421e-01	0.0000e+00	0.0000e+00
1.3350e+03	1.7670e+03	-7.6287e-02	3.1028e-02	0.0000e+00	0.0000e+00
1.3830e+03	1.7670e+03	3.5466e-01	7.0650e-01	0.0000e+00	0.0000e+00
1.4310e+03	1.7670e+03	1.8609e-01	3.8672e-01	0.0000e+00	0.0000e+00
1.4790e+03	1.7670e+03	1.5674e-01	3.9495e-01	0.0000e+00	0.0000e+00
1.5270e+03	1.7670e+03	-2.0995e-02	5.8337e-01	0.0000e+00	0.0000e+00
1.5750e+03	1.7670e+03	1.0411e+00	5.1828e-01	0.0000e+00	0.0000e+00
1.6230e+03	1.7670e+03	2.1165e+00	2.7474e-01	0.0000e+00	0.0000e+00
1.6710e+03	1.7670e+03	1.9258e+00	-2.1859e-01	0.0000e+00	0.0000e+00
1.7190e+03	1.7670e+03	8.6571e-01	-7.4777e-01	0.0000e+00	0.0000e+00
1.7670e+03	1.7670e+03	-1.7570e-01	-8.7447e-01	0.0000e+00	0.0000e+00
1.8150e+03	1.7670e+03	-7.7567e-01	-8.6007e-01	0.0000e+00	0.0000e+00
1.8630e+03	1.7670e+03	-1.0175e+00	-8.1363e-01	0.0000e+00	0.0000e+00
1.9110e+03	1.7670e+03	-1.1649e+00	-8.2259e-01	0.0000e+00	0.0000e+00
1.9590e+03	1.7670e+03	-1.2438e+00	-9.1465e-01	0.0000e+00	0.0000e+00
2.0070e+03	1.7670e+03	-1.3356e+00	-1.0055e+00	0.0000e+00	0.0000e+00
3.9000e+01	1.7190e+03	6.7054e-01	-2.9946e-01	0.0000e+00	0.0000e+00
8.7000e+01	1.7190e+03	1.1494e+00	-1.1005e-01	0.0000e+00	0.0000e+00
1.3500e+02	1.7190e+03	1.0562e+00	-4.8989e-02	0.0000e+00	0.0000e+00
1.8300e+02	1.7190e+03	9.9177e-01	1.0290e+00	0.0000e+00	0.0000e+00
2.3100e+02	1.7190e+03	9.6804e-01	1.3664e+00	0.0000e+00	0.0000e+00
2.7900e+02	1.7190e+03	1.0262e+00	9.0086e-01	0.0000e+00	0.0000e+00
3.2700e+02	1.7190e+03	1.5079e+00	7.1156e-01	0.0000e+00	0.0000e+00
3.7500e+02	1.7190e+03	1.1065e+00	-1.2691e-01	0.0000e+00	0.0000e+00
4.2300e+02	1.7190e+03	1.7552e+00	-4.9437e-01	0.0000e+00	0.0000e+00
4.7100e+02	1.7190e+03	2.1726e+00	-2.0909e-01	0.0000e+00	0.0000e+00
5.1900e+02	1.7190e+03	2.2462e+00	-2.0156e-02	0.0000e+00	0.0000e+00
5.6700e+02	1.7190e+03	2.2421e+00	4.6695e-02	0.0000e+00	0.0000e+00
6.1500e+02	1.7190e+03	2.1027e+00	5.4438e-02	0.0000e+00	0.0000e+00
6.6300e+02	1.7190e+03	1.9636e+00	-5.8535e-02	0.0000e+00	0.0000e+00
7.1100e+02	1.7190e+03	1.7536e+00	-1.5942e-01	0.0000e+00	0.0000e+00
7.5900e+02	1.7190e+03	1.2933e+00	-4.5204e-02	0.0000e+00	0.0000e+00
8.0700e+02	1.7190e+03	1.0736e+00	-6.4925e-02	0.0000e+00	0.0000e+00
8.5500e+02	1.7190e+03	-7.0819e-01	5.2994e-01	0.0000e+00	0.0000e+00
9.0300e+02	1.7190e+03	-6.7260e-01	3.9135e-02	0.0000e+00	0.0000e+00
9.5100e+02	1.7190e+03	-2.7266e-01	-8.0884e-01	0.0000e+00	0.0000e+00
9.9900e+02	1.7190e+03	-7.9226e-01	2.0421e-01	0.0000e+00	0.0000e+00
1.0470e+03	1.7190e+03	-1.1792e+00	6.3345e-01	0.0000e+00	0.0000e+00
1.0950e+03	1.7190e+03	-1.7938e+00	2.0140e-01	0.0000e+00	0.0000e+00
1.1430e+03	1.7190e+03	-1.8202e+00	-4.7019e-01	0.0000e+00	0.0000e+00
1.1910e+03	1.7190e+03	-1.2111e+00	-6.1658e-01	0.0000e+00	0.0000e+00
1.2390e+03	1.7190e+03	3.7448e-02	-2.1730e-01	0.0000e+00	0.0000e+00
1.2870e+03	1.7190e+03	8.1993e-01	3.6589e-01	0.0000e+00	0.0000e+00
1.3350e+03	1.7190e+03	1.1019e+00	8.5056e-01	0.0000e+00	0.0000e+00
1.3830e+03	1.7190e+03	1.0718e+00	-6.5762e-02	0.0000e+00	0.0000e+00
1.4310e+03	1.7190e+03	2.1390e-01	2.8287e-01	0.0000e+00	0.0000e+00
1.4790e+03	1.7190e+03	4.6823e-05	7.6835e-01	0.0000e+00	0.0000e+00
